ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773391539.787011,139.305,0.000,0,24,0,2,2,1,300,0,1
1773391540.332801,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391540.614347,139.043,0.000,0,24,0,2,2,1,300,0,1
1773391540.723488,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391540.879054,139.246,0.000,0,24,0,2,2,1,300,0,1
1773391541.722770,139.348,0.000,0,24,0,2,2,1,300,0,1
1773391541.784238,139.305,0.000,0,24,0,2,2,1,300,0,1
1773391542.333958,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391542.613856,139.043,0.000,0,24,0,2,2,1,300,0,1
1773391542.721713,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391542.879464,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391543.721989,139.348,0.000,0,24,0,2,2,1,300,0,1
1773391543.784395,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391544.332204,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391544.332341,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391544.614896,139.043,0.000,0,24,0,2,2,1,300,0,1
1773391544.723650,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391544.878512,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391545.724258,139.348,0.000,0,24,0,2,2,1,300,0,1
1773391545.787440,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391546.331053,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391546.614343,139.047,0.000,0,24,0,2,2,1,300,0,1
1773391546.721539,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391546.879097,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391547.723902,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391547.784025,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391548.331540,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391548.614156,139.047,0.000,0,24,0,2,2,1,300,0,1
1773391548.721508,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391548.878663,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391549.722354,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391549.787705,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391550.331554,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391550.331559,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391550.614213,139.047,0.000,0,24,0,2,2,1,300,0,1
1773391550.722760,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391550.878397,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391551.724143,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391551.784157,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391552.331607,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391552.614378,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391552.723941,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391552.879321,139.250,0.000,0,24,0,2,2,1,300,0,1
1773391553.721811,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391553.787743,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391554.331692,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391554.614784,139.051,0.000,0,24,0,2,2,1,300,0,1
1773391554.721616,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391554.879319,139.254,0.000,0,24,0,2,2,1,300,0,1
1773391555.721786,139.352,0.000,0,24,0,2,2,1,300,0,1
1773391555.786924,139.312,0.000,0,24,0,2,2,1,300,0,1
1773391556.331255,141.188,0.000,0,24,0,2,2,1,300,0,1
